filename,num_nodes,num_arcs,num_conflicts,source,sink,max_flow_z,status,solve_time_sec
60_30_60_10_15.txt,60,930,338034,1,60,12,OTTIMALE,5.2426
60_30_60_15_20.txt,60,904,338034,1,60,17,OTTIMALE,4.7245
60_40_30_10_15.txt,60,1183,300546,1,60,35,OTTIMALE,18.0424
60_40_30_15_20.txt,60,1171,300546,1,60,54,OTTIMALE,17.5876
60_40_40_10_15.txt,60,1162,400728,1,60,26,OTTIMALE,7.5852
60_40_40_15_20.txt,60,1177,400728,1,60,37,OTTIMALE,10.2438
60_40_50_10_15.txt,60,1179,500910,1,60,13,OTTIMALE,9.921
60_40_50_15_20.txt,60,1163,500910,1,60,35,OTTIMALE,8.6991
60_40_60_10_15.txt,60,1180,601092,1,60,12,OTTIMALE,8.6796
60_40_60_15_20.txt,60,1145,601092,1,60,37,OTTIMALE,6.949
60_50_30_10_15.txt,60,1391,469669,1,60,40,OTTIMALE,22.2957
60_50_30_15_20.txt,60,1401,469669,1,60,52,OTTIMALE,36.379
60_50_40_10_15.txt,60,1395,626226,1,60,29,OTTIMALE,16.917
60_50_40_15_20.txt,60,1406,626226,1,60,39,OTTIMALE,13.8482
60_50_50_10_15.txt,60,1397,782782,1,60,25,OTTIMALE,14.6851
60_50_50_15_20.txt,60,1414,782782,1,60,37,OTTIMALE,15.6152
60_50_60_10_15.txt,60,1400,939339,1,60,25,OTTIMALE,13.7685
60_50_60_15_20.txt,60,1397,939339,1,60,19,OTTIMALE,14.3566
60_60_30_10_15.txt,60,1615,676387,1,60,41,OTTIMALE,27.1283
60_60_30_15_20.txt,60,1585,676387,1,60,53,OTTIMALE,54.3718
60_60_40_10_15.txt,60,1591,901850,1,60,30,OTTIMALE,18.6338
60_60_40_15_20.txt,60,1622,901850,1,60,35,OTTIMALE,28.2463
60_60_50_10_15.txt,60,1588,1127313,1,60,13,OTTIMALE,21.2088
60_60_50_15_20.txt,60,1611,1127313,1,60,36,OTTIMALE,22.373
60_60_60_10_15.txt,60,1583,1352775,1,60,23,OTTIMALE,20.5866
60_60_60_15_20.txt,60,1598,1352775,1,60,17,OTTIMALE,21.8891
70_30_30_10_15.txt,70,1278,314722,1,70,35,OTTIMALE,39.0909
70_30_30_15_20.txt,70,1263,314722,1,70,35,OTTIMALE,21.0054
70_30_40_10_15.txt,70,1271,419630,1,70,15,OTTIMALE,8.1659
70_30_40_15_20.txt,70,1266,419630,1,70,20,OTTIMALE,9.3225
70_30_50_10_15.txt,70,1259,524538,1,70,25,OTTIMALE,10.3623
70_30_50_15_20.txt,70,1270,524538,1,70,19,OTTIMALE,12.5593
70_30_60_10_15.txt,70,1247,629445,1,70,14,OTTIMALE,9.725
70_30_60_15_20.txt,70,1256,629445,1,70,20,OTTIMALE,10.5543
70_40_30_10_15.txt,70,1581,559603,1,70,37,OTTIMALE,50.9983
70_40_30_15_20.txt,70,1597,559603,1,70,51,OTTIMALE,43.0094
70_40_40_10_15.txt,70,1618,746138,1,70,21,OTTIMALE,23.0413
70_40_40_15_20.txt,70,1630,746138,1,70,35,OTTIMALE,27.1002
70_40_50_10_15.txt,70,1600,932673,1,70,24,OTTIMALE,24.5948
